机器	机型	配方	计划批每tick	计划负载	端口上限	存货端口数	取货端口数	进料各端口	出料各端口	逐机逐物品守恒
M091	精炼炉	精炼-蓝铁矿	1	1	3	1	1	C237:蓝铁矿=1(仓库出矿口)	C203:蓝铁块=1(M040)	通过
M092	精炼炉	精炼-蓝铁矿	1	1	3	1	1	C238:蓝铁矿=1(仓库出矿口)	C204:蓝铁块=1(M041)	通过
M093	精炼炉	精炼-蓝铁矿	1	1	3	1	1	C239:蓝铁矿=1(仓库出矿口)	C205:蓝铁块=1(M042)	通过
M094	精炼炉	精炼-蓝铁矿	1	1	3	1	1	C240:蓝铁矿=1(仓库出矿口)	C206:蓝铁块=1(M043)	通过
M095	精炼炉	精炼-蓝铁矿	1	1	3	1	1	C241:蓝铁矿=1(仓库出矿口)	C207:蓝铁块=1(M044)	通过
M096	精炼炉	精炼-蓝铁矿	1	1	3	1	1	C242:蓝铁矿=1(仓库出矿口)	C208:蓝铁块=1(M045)	通过
M097	精炼炉	精炼-蓝铁矿	1	1	3	1	1	C243:蓝铁矿=1(仓库出矿口)	C209:蓝铁块=1(M046)	通过
M098	精炼炉	精炼-蓝铁矿	1	1	3	1	1	C244:蓝铁矿=1(仓库出矿口)	C210:蓝铁块=1(M047)	通过
M099	精炼炉	精炼-蓝铁矿	1	1	3	1	1	C245:蓝铁矿=1(仓库出矿口)	C211:蓝铁块=1(M048)	通过
M100	精炼炉	精炼-蓝铁矿	1	1	3	1	1	C246:蓝铁矿=1(仓库出矿口)	C212:蓝铁块=1(M049)	通过
M101	精炼炉	精炼-蓝铁矿	1	1	3	1	1	C247:蓝铁矿=1(仓库出矿口)	C213:蓝铁块=1(M050)	通过
M102	精炼炉	精炼-蓝铁矿	1	1	3	1	1	C248:蓝铁矿=1(仓库出矿口)	C214:蓝铁块=1(M051)	通过
M103	精炼炉	精炼-致密蓝铁	1	1	3	1	1	C130:致密蓝铁粉末=1(M120)	C289:钢块=1(M152)	通过
M104	精炼炉	精炼-致密蓝铁	1	1	3	1	1	C131:致密蓝铁粉末=1(M121)	C290:钢块=1(M153)	通过
M105	精炼炉	精炼-致密蓝铁	1	1	3	1	1	C132:致密蓝铁粉末=1(M122)	C291:钢块=1(M154)	通过
M106	精炼炉	精炼-致密蓝铁	1	1	3	1	1	C133:致密蓝铁粉末=1(M123)	C292:钢块=1(M155)	通过
M107	精炼炉	精炼-致密蓝铁	1	1	3	1	1	C134:致密蓝铁粉末=1(M124)	C293:钢块=1(M156)	通过
M108	精炼炉	精炼-致密蓝铁	1	1	3	1	1	C135:致密蓝铁粉末=1(M125)	C294:钢块=1(M156)	通过
