where	result	detail
目录/尺寸/研磨机	通过	
目录/端口数/研磨机	通过	
目录/三下限/研磨机	通过	
目录/物品格/研磨机	通过	
目录/尺寸/塑形机	通过	
目录/端口数/塑形机	通过	
目录/三下限/塑形机	通过	
目录/物品格/塑形机	通过	
目录/尺寸/配件机	通过	
目录/端口数/配件机	通过	
目录/三下限/配件机	通过	
目录/物品格/配件机	通过	
目录/尺寸/种植机	通过	
目录/端口数/种植机	通过	
目录/三下限/种植机	通过	
目录/物品格/种植机	通过	
目录/尺寸/采种机	通过	
目录/端口数/采种机	通过	
目录/三下限/采种机	通过	
目录/物品格/采种机	通过	
目录/尺寸/封装机	通过	
目录/端口数/封装机	通过	
目录/三下限/封装机	通过	
目录/物品格/封装机	通过	
目录/尺寸/灌装机	通过	
目录/端口数/灌装机	通过	
目录/三下限/灌装机	通过	
目录/物品格/灌装机	通过	
目录/非制造尺寸端口/协议核心	通过	
目录/非制造尺寸端口/传送带	通过	
目录/非制造尺寸端口/桥接器	通过	
目录/非制造尺寸端口/物品准入口	通过	
目录/非制造尺寸端口/分流器	通过	
目录/非制造尺寸端口/汇流器	通过	
目录/非制造尺寸端口/协议储存箱	通过	
目录/非制造尺寸端口/仓库取货口	通过	
目录/非制造尺寸端口/供电桩	通过	
目录/单位数	通过	
目录/阈值字段集合	通过	
目录/阈值/port_rate	通过	
目录/阈值出处/port_rate	通过	
目录/阈值/source_per_side	通过	
目录/阈值出处/source_per_side	通过	
目录/阈值/ore_total	通过	
目录/阈值出处/ore_total	通过	
目录/阈值/battery_iron	通过	
目录/阈值出处/battery_iron	通过	
目录/阈值/battery_ore	通过	
目录/阈值出处/battery_ore	通过	
目录/阈值/capsule_iron	通过	
目录/阈值出处/capsule_iron	通过	
目录/阈值/grinder_trigger	通过	
目录/阈值出处/grinder_trigger	通过	
目录/阈值/grinder_count	通过	
目录/阈值出处/grinder_count	通过	
目录/阈值/grinder_inputs	通过	
目录/阈值出处/grinder_inputs	通过	
目录/阈值/seed_trigger	通过	
目录/阈值出处/seed_trigger	通过	
目录/阈值/seed_outputs	通过	
目录/阈值出处/seed_outputs	通过	
目录/阈值/shaper_trigger	通过	
目录/阈值出处/shaper_trigger	通过	
目录/阈值/shaper_count	通过	
目录/阈值出处/shaper_count	通过	
目录/阈值/shaper_inputs	通过	
目录/阈值出处/shaper_inputs	通过	
目录/阈值/pack_trigger	通过	
目录/阈值出处/pack_trigger	通过	
目录/阈值/pack_inputs	通过	
目录/阈值出处/pack_inputs	通过	
目录/阈值/fill_trigger	通过	
目录/阈值出处/fill_trigger	通过	
目录/阈值/fill_count	通过	
目录/阈值出处/fill_count	通过	
目录/阈值/fill_inputs	通过	
目录/阈值出处/fill_inputs	通过	
目录/阈值/fill_other_inputs	通过	
目录/阈值出处/fill_other_inputs	通过	
目录/阈值/plant_trigger	通过	
目录/阈值出处/plant_trigger	通过	
目录/阈值/product_sources	通过	
目录/阈值出处/product_sources	通过	
目录/阈值/product_inputs	通过	
目录/阈值出处/product_inputs	通过	
目录/阈值/transport_s	通过	
目录/阈值出处/transport_s	通过	
目录/阈值/transport_r	通过	
目录/阈值出处/transport_r	通过	
目录/阈值/box_base	通过	
目录/阈值出处/box_base	通过	
目录/阈值/box_h	通过	
目录/阈值出处/box_h	通过	
目录/阈值/box_eta_h_offset	通过	
目录/阈值出处/box_eta_h_offset	通过	
目录/阈值/box_eta_m_base	通过	
目录/阈值出处/box_eta_m_base	通过	
目录/阈值/box_eta_h_factor	通过	
目录/阈值出处/box_eta_h_factor	通过	
目录/阈值/box_eta_h_subtract	通过	
目录/阈值出处/box_eta_h_subtract	通过	
目录/阈值/plant_area	通过	
目录/阈值出处/plant_area	通过	
目录/阈值/flow_total	通过	
目录/阈值出处/flow_total	通过	
目录/物料流量/蓝铁矿	通过	
目录/物料流量/源矿	通过	
目录/物料流量/蓝铁块	通过	
目录/物料流量/蓝铁粉末	通过	
目录/物料流量/源石粉末	通过	
目录/物料流量/砂叶粉末	通过	
目录/物料流量/砂叶	通过	
目录/物料流量/砂叶种子	通过	
目录/物料流量/荞花	通过	
目录/物料流量/荞花种子	通过	
目录/物料流量/荞花粉末	通过	
目录/物料流量/致密蓝铁粉末	通过	
目录/物料流量/钢块	通过	
目录/物料流量/致密源石粉末	通过	
目录/物料流量/细磨荞花粉末	通过	
目录/物料流量/钢制零件	通过	
目录/物料流量/钢质瓶	通过	
目录/物料流量/高容谷地电池	通过	
目录/物料流量/精选荞愈胶囊	通过	
目录/准入口数值	通过	
目录/传输冷却	通过	
校验报告.md:11 契约/数字类别	通过	结构、证据边界文字核对
校验报告.md:12 目录/版本	通过	结构、证据边界文字核对
校验报告.md:13 目录/阈值/battery_iron	通过	正式阈值逐项对照
校验报告.md:14 目录/阈值/battery_ore	通过	正式阈值逐项对照
校验报告.md:15 目录/阈值/box_base	通过	正式阈值逐项对照
校验报告.md:16 目录/阈值/box_eta_h_factor	通过	正式阈值逐项对照
校验报告.md:17 目录/阈值/box_eta_h_offset	通过	正式阈值逐项对照
校验报告.md:18 目录/阈值/box_eta_h_subtract	通过	正式阈值逐项对照
校验报告.md:19 目录/阈值/box_eta_m_base	通过	正式阈值逐项对照
校验报告.md:20 目录/阈值/box_h	通过	正式阈值逐项对照
校验报告.md:21 目录/阈值/capsule_iron	通过	正式阈值逐项对照
校验报告.md:22 目录/阈值/fill_count	通过	正式阈值逐项对照
校验报告.md:23 目录/阈值/fill_inputs	通过	正式阈值逐项对照
校验报告.md:24 目录/阈值/fill_other_inputs	通过	正式阈值逐项对照
校验报告.md:25 目录/阈值/fill_trigger	通过	正式阈值逐项对照
校验报告.md:26 目录/阈值/flow_total	通过	正式阈值逐项对照
校验报告.md:27 目录/阈值/grinder_count	通过	正式阈值逐项对照
校验报告.md:28 目录/阈值/grinder_inputs	通过	正式阈值逐项对照
校验报告.md:29 目录/阈值/grinder_trigger	通过	正式阈值逐项对照
校验报告.md:30 目录/阈值/ore_total	通过	正式阈值逐项对照
校验报告.md:31 目录/阈值/pack_inputs	通过	正式阈值逐项对照
校验报告.md:32 目录/阈值/pack_trigger	通过	正式阈值逐项对照
校验报告.md:33 目录/阈值/plant_area	通过	正式阈值逐项对照
校验报告.md:34 目录/阈值/plant_trigger	通过	正式阈值逐项对照
校验报告.md:35 目录/阈值/port_rate	通过	正式阈值逐项对照
校验报告.md:36 目录/阈值/product_inputs	通过	正式阈值逐项对照
校验报告.md:37 目录/阈值/product_sources	通过	正式阈值逐项对照
校验报告.md:38 目录/阈值/seed_outputs	通过	正式阈值逐项对照
校验报告.md:39 目录/阈值/seed_trigger	通过	正式阈值逐项对照
校验报告.md:40 目录/阈值/shaper_count	通过	正式阈值逐项对照
校验报告.md:41 目录/阈值/shaper_inputs	通过	正式阈值逐项对照
校验报告.md:42 目录/阈值/shaper_trigger	通过	正式阈值逐项对照
校验报告.md:43 目录/阈值/source_per_side	通过	正式阈值逐项对照
校验报告.md:44 目录/阈值/transport_r	通过	正式阈值逐项对照
校验报告.md:45 目录/阈值/transport_s	通过	正式阈值逐项对照
校验报告.md:46 契约/版本	通过	结构、证据边界文字核对
校验报告.md:47 契约/唯一身份	通过	结构、证据边界文字核对
校验报告.md:48 契约/速率窗口	通过	结构、证据边界文字核对
校验报告.md:49 协议核心/端口	通过	结构、证据边界文字核对
校验报告.md:50 出库上限/来源变量域	通过	结构、证据边界文字核对
校验报告.md:51 契约/受限模型	通过	结构、证据边界文字核对
校验报告.md:52 来源端口身份/ORE000	通过	结构、证据边界文字核对
校验报告.md:53 来源端口身份/ORE001	通过	结构、证据边界文字核对
校验报告.md:54 来源端口身份/ORE002	通过	结构、证据边界文字核对
校验报告.md:55 来源端口身份/ORE003	通过	结构、证据边界文字核对
校验报告.md:56 来源端口身份/ORE004	通过	结构、证据边界文字核对
校验报告.md:57 来源端口身份/ORE005	通过	结构、证据边界文字核对
校验报告.md:58 来源端口身份/ORE006	通过	结构、证据边界文字核对
校验报告.md:59 来源端口身份/ORE007	通过	结构、证据边界文字核对
