time,pid,tag,rss_kb,hwm_kb,swap_kb
07:26:14,237435,batch_c_probe_3_,13030716,14845292,0
07:26:15,237435,batch_c_probe_3_,13030716,14845292,0
07:26:16,237435,batch_c_probe_3_,13030716,14845292,0
07:26:17,237435,batch_c_probe_3_,13030716,14845292,0
07:26:18,237435,batch_c_probe_3_,13030716,14845292,0
07:26:19,237435,batch_c_probe_3_,13030716,14845292,0
07:26:20,237435,batch_c_probe_3_,13030716,14845292,0
07:26:21,237435,batch_c_probe_3_,13030716,14845292,0
07:26:22,237435,batch_c_probe_3_,13030716,14845292,0
07:26:23,237435,batch_c_probe_3_,13030716,14845292,0
07:26:24,237435,batch_c_probe_3_,13030716,14845292,0
07:26:25,237435,batch_c_probe_3_,13030716,14845292,0
07:26:26,237435,batch_c_probe_3_,13030716,14845292,0
07:26:27,237435,batch_c_probe_3_,13030716,14845292,0
07:26:28,237435,batch_c_probe_3_,12760380,14845292,0
07:26:29,237435,batch_c_probe_3_,12444300,14845292,0
07:26:30,237435,batch_c_probe_3_,12988636,14845292,0
07:26:31,237435,batch_c_probe_3_,13122464,14845292,0
07:26:32,237435,batch_c_probe_3_,13122464,14845292,0
07:26:33,237435,batch_c_probe_3_,13122464,14845292,0
07:26:34,237435,batch_c_probe_3_,13153952,14845292,0
07:26:35,237435,batch_c_probe_3_,13153952,14845292,0
07:26:36,237435,batch_c_probe_3_,13153952,14845292,0
07:26:37,237435,batch_c_probe_3_,13153952,14845292,0
07:26:38,237435,batch_c_probe_3_,13153952,14845292,0
07:26:39,237435,batch_c_probe_3_,13153952,14845292,0
07:26:40,237435,batch_c_probe_3_,13250308,14845292,0
07:26:41,237435,batch_c_probe_3_,13368516,14845292,0
07:26:42,237435,batch_c_probe_3_,13398724,14845292,0
07:26:43,237435,batch_c_probe_3_,13133836,14845292,0
07:26:44,237435,batch_c_probe_3_,13133836,14845292,0
07:26:45,237435,batch_c_probe_3_,13155212,14845292,0
07:26:46,237435,batch_c_probe_3_,13155212,14845292,0
07:26:47,237435,batch_c_probe_3_,13155212,14845292,0
07:26:48,237435,batch_c_probe_3_,13155212,14845292,0
07:26:49,237435,batch_c_probe_3_,13155212,14845292,0
07:26:50,237435,batch_c_probe_3_,13155212,14845292,0
07:26:51,237435,batch_c_probe_3_,13155212,14845292,0
07:26:52,237435,batch_c_probe_3_,13251512,14845292,0
07:26:53,237435,batch_c_probe_3_,13394936,14845292,0
